num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,stagenew
89,99,666,1,1.429530263,0.39274925,0.282142878,-0.054914422,21.03625107,11.12799972,0.042289333,0.28274633,69.33302043,4.678308664,4
90,100,666,1,1.405363798,0.397504479,0.296749055,-0.068592079,19.68268967,10.98800063,0.042284504,0.282825771,69.32936732,4.678382123,4
91,101,666,1,1.428658843,0.41404888,0.302880883,-0.073705181,20.67386436,11.71599984,0.042286643,0.283007406,69.333296,4.67816682,4
92,102,666,1,1.439500093,0.415053725,0.29387328,-0.07504008,20.74044228,11.87199891,0.042292166,0.283078735,69.33920778,4.677925192,4
93,103,666,1,1.664223909,0.476102561,0.342938006,-0.065900356,28.96789742,14.41000044,0.042029395,0.297425831,69.29120487,4.660125789,4
94,104,666,1,1.647446513,0.470540106,0.340804905,-0.062310006,29.02936745,14.24800009,0.042031822,0.297486293,69.2926014,4.660521553,4
95,105,666,1,1.565850616,0.478243351,0.340799153,-0.103264995,22.63474846,14.59999979,0.042035196,0.296944996,69.29027999,4.660618797,4
96,106,666,1,1.560202837,0.440198302,0.304950029,-0.061320733,24.4693737,13.11800033,0.041688649,0.320900625,69.32865698,4.626660653,4
97,107,666,1,1.558124781,0.439302742,0.30486235,-0.057176623,24.90377617,13.10199916,0.041687362,0.321026755,69.32896584,4.626588486,4
,,,,,,,,,,,,,,
,,,,1.433200717,0.398878664,0.281474382,-0.048935428,22.75216103,12.14400053,0.042127345,0.307000929,69.41432723,4.673903828,3
,,,,1.63339,0.45904,0.32386,-0.04737,29.77391,14.388,0.04213,0.30696,69.41613,4.67401,3
,,,,1.58251,0.44089,0.31359,-0.04915,27.70368,13.632,0.04213,0.30766,69.41785,4.67413,3
,,,,1.55599,0.43738,0.30907,-0.053,26.51896,13.544,0.04212,0.30878,69.41915,4.67425,3
,,,,1.58749,0.44216,0.30955,-0.04478,28.28025,13.68,0.04212,0.30876,69.41864,4.67421,3
